Sp.Scien.jetz;Sp.Eng.jetz;Sp.Scien.hbw;Sp.Eng.hbw;Match_jetz_birdlife;Order;strategy_3;distance_4;distance_quanti_RES0;distance_quanti_ALL
Calyptorhynchus_latirostris;Carnabyâs-Black-Cockatoo;Zanda_latirostris;Short-billed-Black-cockatoo;Zanda_latirostris;PSITTACIFORMES;strict_mig;short;142,0831471;142,0831471
Calyptura_cristata;Kinglet-Calyptura;Calyptura_cristata;Kinglet-Calyptura;Calyptura_cristata;PASSERIFORMES;resident;resident;0;0
Camarhynchus_heliobates;Mangrove-Finch;Camarhynchus_heliobates;Mangrove-Finch;Camarhynchus_heliobates;PASSERIFORMES;resident;resident;0;0
Camarhynchus_pallidus;Woodpecker-Finch;Camarhynchus_pallidus;Woodpecker-Finch;Camarhynchus_pallidus;PASSERIFORMES;resident;resident;0;37,10412796
Camarhynchus_parvulus;Small-Tree-finch;Camarhynchus_parvulus;Small-Tree-finch;Camarhynchus_parvulus;PASSERIFORMES;resident;resident;0;41,26351214
Camarhynchus_pauper;Medium-Tree-finch;Camarhynchus_pauper;Medium-Tree-finch;Camarhynchus_pauper;PASSERIFORMES;resident;resident;0;0
Camarhynchus_psittacula;Large-Tree-finch;Camarhynchus_psittacula;Large-Tree-finch;Camarhynchus_psittacula;PASSERIFORMES;resident;resident;0;41,26351214
Camaroptera_brachyura;Green-backed-Camaroptera;Camaroptera_brachyura;Grey-backed-Camaroptera;Camaroptera_brachyura;PASSERIFORMES;resident;resident;0;1042,484637
Camaroptera_chloronota;Olive-green-Camaroptera;Camaroptera_chloronota;Olive-green-Camaroptera;Camaroptera_chloronota;PASSERIFORMES;resident;resident;0;522,32848
Camaroptera_fasciolata;Barred-Wren-warbler;Calamonastes_fasciolatus;Barred-Wren-warbler;Camaroptera_fasciolata;PASSERIFORMES;resident;resident;0;302,8326702
Camaroptera_simplex;Grey-Wren-warbler;Calamonastes_simplex;Grey-Wren-warbler;Camaroptera_simplex;PASSERIFORMES;resident;resident;0;334,3628351
Camaroptera_superciliaris;Yellow-browed-Camaroptera;Camaroptera_superciliaris;Yellow-browed-Camaroptera;Camaroptera_superciliaris;PASSERIFORMES;resident;resident;0;519,3523586
Camaroptera_undosa;Miombo-Wren-warbler;Calamonastes_undosus;Miombo-Wren-warbler;Camaroptera_undosa;PASSERIFORMES;resident;resident;0;484,0341176
Campephaga_flava;Black-Cuckooshrike;Campephaga_flava;Black-Cuckoo-shrike;Campephaga_flava;PASSERIFORMES;resident;resident;0;633,47983
Campephaga_lobata;Western-Wattled-Cuckooshrike;Lobotos_lobatus;Western-Wattled-Cuckoo-shrike;Campephaga_lobata;PASSERIFORMES;resident;resident;0;157,3320769
Campephaga_oriolina;Eastern-Wattled-Cuckooshrike;Campephaga_quiscalina;Purple-throated-Cuckoo-shrike;Campephaga_oriolina;PASSERIFORMES;resident;resident;0;196,4747673
Campephaga_petiti;Petits-Cuckooshrike;Campephaga_petiti;Petits-Cuckoo-shrike;Campephaga_petiti;PASSERIFORMES;resident;resident;0;215,7128793
Campephaga_phoenicea;Red-shouldered-Cuckooshrike;Campephaga_phoenicea;Red-shouldered-Cuckoo-shrike;Campephaga_phoenicea;PASSERIFORMES;partial_mig;short;710,2445624;710,2445624
